availability,category,coursePictureUrl,credits,endDate,enrolled,enrollmentEndDate,estimatedWorkload,examDate,explorerInstructorName,explorerSummary,featured,id,instructorInstitute,name,ncCode,nodeCode,openForRegistration,showInExplorer,startDate,title,url,weeks
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_cy07.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-26T00:00:00.000000Z,Prof. Lal Mohan Kundu,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX2N5MDc=,IIT Guwahati,Chemistry,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Essentials of Biomolecules: Nucleic Acids and Peptides,/nd1_noc20_cy07/preview,12
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_ge02.jpg,2,2020-04-17T00:00:00.000000Z,False,2020-02-23T18:30:00.000000Z,,2020-04-26T00:00:00.000000Z,Prof. Susmita Mukhopadhyay,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX2dlMDI=,IIT Kharagpur,Multidisciplinary,NPTEL,nd1,True,True,2020-02-24T00:00:00.000000Z,Ethics in Engineering Practice,/nd1_noc20_ge02/preview,8
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_te01.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-25T00:00:00.000000Z,Prof. Apurba Das,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX3RlMDE=,IIT Delhi,TEXTILE_COURSES,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Evaluation of Textiles Materials,/nd1_noc20_te01/preview,12
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_ee36.jpg,2,2020-04-17T00:00:00.000000Z,False,2020-02-23T18:30:00.000000Z,,2020-04-25T00:00:00.000000Z,Prof. Suvra Sekhar Das,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX2VlMzY=,IIT Kharagpur,ELEC_ENGG,NPTEL,nd1,True,True,2020-02-24T00:00:00.000000Z,Evolution of Air Interface towards 5G,/nd1_noc20_ee36/preview,8
registration_required,,https://storage.googleapis.com/swayam-node2-production.appspot.com/assets/img/cec20_bt06/WhatsApp Image 2019-11-23 at 3.54.17 PM.jpeg,2,2020-03-08T18:30:00.000000Z,False,2020-02-27T18:30:00.000000Z,,2020-05-09T03:30:00.000000Z,Dr. Nayan K. Jain ,,True,Q291cnNlTGlzdDovbmQyX2NlYzIwX2J0MDY=,"Department of Life-Science,University School of Sciences, Gujarat University, Ahmedabad, India",BIO_TECH,CEC,nd2,True,True,2020-01-12T18:30:00.000000Z,Evolutionary Biology,/nd2_cec20_bt06/preview,8
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_me07.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-26T00:00:00.000000Z,Prof. Pranab K. Mondal,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX21lMDc=,IIT Guwahati,MECH_ENGG,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Experimental Methods in Fluid Mechanics,/nd1_noc20_me07/preview,12
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_ph04.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-26T00:00:00.000000Z,Prof. Amal Kumar Das,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX3BoMDQ=,IIT Kharagpur,Physics,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Experimental Physics - II,/nd1_noc20_ph04/preview,12
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_ph09.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-26T00:00:00.000000Z,Prof. Amal Kumar Das,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX3BoMDk=,IIT Kharagpur,Physics,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Experimental Physics III,/nd1_noc20_ph09/preview,12
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_me02.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-26T00:00:00.000000Z,Prof. K. Ramesh,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX21lMDI=,IIT Madras,MECH_ENGG,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Experimental Stress Analysis,/nd1_noc20_me02/preview,12
registration_required,,https://storage.googleapis.com/swayam-node2-production.appspot.com/assets/img/ntr20_ed03/Fundamet.JPG,2,2020-04-19T18:30:00.000000Z,False,2020-02-16T18:30:00.000000Z,,,Prof. Joshua Earnest,,True,Q291cnNlTGlzdDovbmQyX250cjIwX2VkMDM=,"National Institute of Technical Teachers Training and Research, Bhopal ",TEACHER_EDUCATION,NITTTR,nd2,True,True,2020-01-26T18:30:00.000000Z,FUNDAMENTALS OF OUTCOME-BASED CURRICULUM IN ENGINEERING EDUCATION,/nd2_ntr20_ed03/preview,4
